file_index,file_name,row_no,annotation_id,parameter_name,parameter_value,upper_limit,lower_limit,unit,semantic_type,review_status,source,confidence
2,2b13201ace424cdba65b268fc6bfdacb.pdf,1,A001,F-F局部角度,55,,,deg,dimension,pending,pdf_page_image,0.86
2,2b13201ace424cdba65b268fc6bfdacb.pdf,2,A002,F-F局部高度/距离,18.43,,,mm,dimension,pending,pdf_page_image,0.9
2,2b13201ace424cdba65b268fc6bfdacb.pdf,3,A003,F-F局部尺寸,12.91,,,mm,dimension,pending,pdf_page_image,0.89
2,2b13201ace424cdba65b268fc6bfdacb.pdf,4,A004,F-F夹角,90,,,deg,dimension,pending,pdf_page_image,0.86
2,2b13201ace424cdba65b268fc6bfdacb.pdf,5,A005,视图U局部宽度,6.5,7.0,6.5,mm,dimension,needs_manual_review,pdf_page_image,0.82
2,2b13201ace424cdba65b268fc6bfdacb.pdf,6,A006,视图U允许角度,60 max,60,,deg,dimension,pending,pdf_page_image,0.87
2,2b13201ace424cdba65b268fc6bfdacb.pdf,7,A007,允许无倒角区域,acceptable,,,,process_note,pending,pdf_page_image,0.92
2,2b13201ace424cdba65b268fc6bfdacb.pdf,8,A008,H-H局部角度,21.15,,,deg,dimension,pending,pdf_page_image,0.9
2,2b13201ace424cdba65b268fc6bfdacb.pdf,9,A009,H-H局部距离,17.24,,,mm,dimension,pending,pdf_page_image,0.9
2,2b13201ace424cdba65b268fc6bfdacb.pdf,10,A010,H-H纵向尺寸,59.46,,,mm,dimension,pending,pdf_page_image,0.88
2,2b13201ace424cdba65b268fc6bfdacb.pdf,11,A011,H-H局部高度,18.43,,,mm,dimension,pending,pdf_page_image,0.87
2,2b13201ace424cdba65b268fc6bfdacb.pdf,12,A012,H-H局部尺寸,12.91,,,mm,dimension,pending,pdf_page_image,0.89
2,2b13201ace424cdba65b268fc6bfdacb.pdf,13,A013,K-K参考尺寸,7.0,,,mm,dimension,pending,pdf_page_image,0.88
2,2b13201ace424cdba65b268fc6bfdacb.pdf,14,A014,K-K参考角度,61.08,,,deg,dimension,pending,pdf_page_image,0.86
2,2b13201ace424cdba65b268fc6bfdacb.pdf,15,A015,K-K孔径,5.0,4.977,4.953,mm,dimension,needs_manual_review,pdf_page_image,0.72
2,2b13201ace424cdba65b268fc6bfdacb.pdf,16,A016,K-K参考尺寸,6.5,,,mm,dimension,pending,pdf_page_image,0.86
2,2b13201ace424cdba65b268fc6bfdacb.pdf,17,A017,几何公差,Φ0.7,,,mm,geometric_tolerance,needs_manual_review,pdf_page_image,0.78
2,2b13201ace424cdba65b268fc6bfdacb.pdf,18,A018,几何公差,Φ1,,,mm,geometric_tolerance,needs_manual_review,pdf_page_image,0.78
2,2b13201ace424cdba65b268fc6bfdacb.pdf,19,A019,几何公差,Φ0.7,,,mm,geometric_tolerance,needs_manual_review,pdf_page_image,0.76
2,2b13201ace424cdba65b268fc6bfdacb.pdf,20,A020,G-G局部尺寸,17.5,,,mm,dimension,pending,pdf_page_image,0.88
2,2b13201ace424cdba65b268fc6bfdacb.pdf,21,A021,G-G局部角度,51,,,deg,dimension,pending,pdf_page_image,0.83
2,2b13201ace424cdba65b268fc6bfdacb.pdf,22,A022,G-G局部角度,80,,,deg,dimension,pending,pdf_page_image,0.84
2,2b13201ace424cdba65b268fc6bfdacb.pdf,23,A023,G-G纵向尺寸,59.2,,,mm,dimension,pending,pdf_page_image,0.86
2,2b13201ace424cdba65b268fc6bfdacb.pdf,24,A024,视图V局部宽度,7.0,7.5,7.0,mm,dimension,needs_manual_review,pdf_page_image,0.8
2,2b13201ace424cdba65b268fc6bfdacb.pdf,25,A025,视图V允许角度,60 max,60,,deg,dimension,pending,pdf_page_image,0.87
2,2b13201ace424cdba65b268fc6bfdacb.pdf,26,A026,允许无倒角区域,acceptable,,,,process_note,pending,pdf_page_image,0.91
2,2b13201ace424cdba65b268fc6bfdacb.pdf,27,A027,滚轮直径,15,15.015,14.985,mm,dimension,needs_manual_review,pdf_page_image,0.82
2,2b13201ace424cdba65b268fc6bfdacb.pdf,28,A028,滚轮端半径,1.3,1.3,1.25,mm,dimension,needs_manual_review,pdf_page_image,0.74
2,2b13201ace424cdba65b268fc6bfdacb.pdf,29,A029,滚压力Fx,6500/7000,主轴颈7000；连杆颈7500,主轴颈6000；连杆颈6500,N,process_note,needs_manual_review,pdf_page_image,0.78
2,2b13201ace424cdba65b268fc6bfdacb.pdf,30,A030,滚压图数N,2-7-2,,,,process_note,needs_manual_review,pdf_page_image,0.75
2,2b13201ace424cdba65b268fc6bfdacb.pdf,31,A031,滚压角度X,30,,,deg,process_note,needs_manual_review,pdf_page_image,0.73
2,2b13201ace424cdba65b268fc6bfdacb.pdf,32,A032,表面缺陷要求,不允许,,,,quality_note,pending,pdf_page_image,0.88
2,2b13201ace424cdba65b268fc6bfdacb.pdf,33,A033,动平衡不平衡量,≤20,20,,g.cm,inspection_note,needs_manual_review,pdf_page_image,0.83
2,2b13201ace424cdba65b268fc6bfdacb.pdf,34,A034,未注公差标准,GB/T1804-m; GB/T1184-H,,,,tolerance,pending,pdf_page_image,0.88
